id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1013,2024-02-05 09:00:52.218095,6.4,3.2,5.3,2.3,2
1012,2024-02-05 09:00:51.210858,6.3,2.8,5.1,1.5,2
1011,2024-02-05 09:00:50.202469,6.6,3.0,4.4,1.4,1
1010,2024-02-05 09:00:49.196254,6.0,3.4,4.5,1.6,1
1009,2024-02-05 09:00:48.185553,5.0,3.0,1.6,0.2,0
1008,2024-02-05 09:00:47.178104,6.1,3.0,4.6,1.4,1
1007,2024-02-05 09:00:46.168710,5.0,3.6,1.4,0.2,0
1006,2024-02-05 09:00:45.158368,5.4,3.9,1.7,0.4,0
1005,2024-02-05 09:00:44.152770,5.0,3.3,1.4,0.2,0
1004,2024-02-05 09:00:43.139515,5.8,2.6,4.0,1.2,1
1003,2024-02-05 09:00:42.133026,6.5,3.0,5.2,2.0,2
1002,2024-02-05 09:00:41.121168,6.0,3.4,4.5,1.6,1
1001,2024-02-05 09:00:40.108534,6.5,3.2,5.1,2.0,2
1000,2024-02-05 09:00:39.101957,6.7,3.1,4.4,1.4,1
999,2024-02-05 09:00:38.091632,6.4,2.8,5.6,2.1,2
998,2024-02-05 09:00:37.081006,4.4,3.0,1.3,0.2,0
997,2024-02-05 09:00:36.069470,7.1,3.0,5.9,2.1,2
996,2024-02-05 09:00:35.063032,7.7,2.8,6.7,2.0,2
995,2024-02-05 09:00:34.058760,5.8,2.7,5.1,1.9,2
994,2024-02-05 09:00:33.046830,4.8,3.0,1.4,0.1,0
993,2024-02-05 09:00:32.035877,6.8,3.2,5.9,2.3,2
992,2024-02-05 09:00:31.025167,5.8,4.0,1.2,0.2,0
991,2024-02-05 09:00:30.012009,6.7,3.1,4.4,1.4,1
990,2024-02-05 09:00:29.001913,4.4,3.0,1.3,0.2,0
989,2024-02-05 09:00:27.989399,6.0,2.2,5.0,1.5,2
988,2024-02-05 09:00:26.982892,5.1,3.5,1.4,0.2,0
987,2024-02-05 09:00:25.973961,6.0,2.7,5.1,1.6,1
986,2024-02-05 09:00:24.965925,6.8,3.2,5.9,2.3,2
985,2024-02-05 09:00:23.961147,5.0,3.0,1.6,0.2,0
984,2024-02-05 09:00:22.952903,5.0,3.5,1.3,0.3,0
983,2024-02-05 09:00:21.941711,6.2,3.4,5.4,2.3,2
982,2024-02-05 09:00:20.931905,6.1,2.9,4.7,1.4,1
981,2024-02-05 09:00:19.921713,4.8,3.4,1.6,0.2,0
980,2024-02-05 09:00:18.908550,5.0,3.5,1.3,0.3,0
979,2024-02-05 09:00:17.898799,5.9,3.0,4.2,1.5,1
978,2024-02-05 09:00:16.888192,6.7,2.5,5.8,1.8,2
977,2024-02-05 09:00:15.879269,7.3,2.9,6.3,1.8,2
976,2024-02-05 09:00:14.873500,6.4,2.7,5.3,1.9,2
975,2024-02-05 09:00:13.868763,4.8,3.0,1.4,0.3,0
974,2024-02-05 09:00:12.860892,6.2,2.2,4.5,1.5,1
973,2024-02-05 09:00:11.852418,6.5,3.0,5.2,2.0,2
972,2024-02-05 09:00:10.843728,7.7,2.8,6.7,2.0,2
971,2024-02-05 09:00:09.834708,5.3,3.7,1.5,0.2,0
970,2024-02-05 09:00:08.825343,5.1,3.3,1.7,0.5,0
969,2024-02-05 09:00:07.817206,5.4,3.4,1.5,0.4,0
968,2024-02-05 09:00:06.809864,5.0,3.4,1.6,0.4,0
967,2024-02-05 09:00:05.802013,6.3,2.3,4.4,1.3,1
966,2024-02-05 09:00:04.792155,4.5,2.3,1.3,0.3,0
965,2024-02-05 09:00:03.785248,6.8,2.8,4.8,1.4,1
964,2024-02-05 09:00:02.770890,5.4,3.4,1.5,0.4,0
963,2024-02-05 09:00:01.758289,4.9,3.0,1.4,0.2,0
962,2024-02-05 09:00:00.749802,6.9,3.1,4.9,1.5,1
961,2024-02-05 08:59:59.735649,7.2,3.2,6.0,1.8,2
960,2024-02-05 08:59:58.726700,4.9,3.1,1.5,0.1,0
959,2024-02-05 08:59:57.716045,4.9,3.1,1.5,0.2,0
958,2024-02-05 08:59:56.704566,5.7,3.0,4.2,1.2,1
957,2024-02-05 08:59:55.692007,4.9,2.4,3.3,1.0,1
956,2024-02-05 08:59:54.684645,5.0,2.3,3.3,1.0,1
955,2024-02-05 08:59:53.679029,6.7,3.1,4.4,1.4,1
954,2024-02-05 08:59:52.669817,6.8,2.8,4.8,1.4,1
953,2024-02-05 08:59:51.658063,6.0,2.2,4.0,1.0,1
952,2024-02-05 08:59:50.644411,6.4,2.7,5.3,1.9,2
951,2024-02-05 08:59:49.633384,6.9,3.1,4.9,1.5,1
950,2024-02-05 08:59:48.620616,6.2,3.4,5.4,2.3,2
949,2024-02-05 08:59:47.612731,6.7,2.5,5.8,1.8,2
948,2024-02-05 08:59:46.598559,5.0,3.0,1.6,0.2,0
947,2024-02-05 08:59:45.587758,4.8,3.4,1.6,0.2,0
946,2024-02-05 08:59:44.580067,4.8,3.1,1.6,0.2,0
945,2024-02-05 08:59:43.573039,5.3,3.7,1.5,0.2,0
944,2024-02-05 08:59:42.564664,6.7,3.3,5.7,2.5,2
943,2024-02-05 08:59:41.555830,5.2,3.5,1.5,0.2,0
942,2024-02-05 08:59:40.547055,4.9,3.1,1.5,0.1,0
941,2024-02-05 08:59:39.536941,7.7,3.8,6.7,2.2,2
940,2024-02-05 08:59:38.523541,6.4,3.2,5.3,2.3,2
939,2024-02-05 08:59:37.512828,4.9,3.0,1.4,0.2,0
938,2024-02-05 08:59:36.497560,5.4,3.4,1.7,0.2,0
937,2024-02-05 08:59:35.487869,6.3,2.5,4.9,1.5,1
936,2024-02-05 08:59:34.480680,6.5,3.2,5.1,2.0,2
935,2024-02-05 08:59:33.475834,5.4,3.0,4.5,1.5,1
934,2024-02-05 08:59:32.468535,6.5,3.2,5.1,2.0,2
933,2024-02-05 08:59:31.457227,5.0,3.4,1.5,0.2,0
932,2024-02-05 08:59:30.442693,6.4,2.8,5.6,2.1,2
931,2024-02-05 08:59:29.428152,5.7,4.4,1.5,0.4,0
930,2024-02-05 08:59:28.413211,6.3,2.7,4.9,1.8,2
929,2024-02-05 08:59:27.400677,5.8,2.8,5.1,2.4,2
928,2024-02-05 08:59:26.388521,6.4,2.9,4.3,1.3,1
927,2024-02-05 08:59:25.374159,7.4,2.8,6.1,1.9,2
926,2024-02-05 08:59:24.360121,5.2,4.1,1.5,0.1,0
925,2024-02-05 08:59:23.352100,6.0,2.9,4.5,1.5,1
924,2024-02-05 08:59:22.339424,5.7,3.8,1.7,0.3,0
923,2024-02-05 08:59:21.326843,6.9,3.1,5.4,2.1,2
922,2024-02-05 08:59:20.313379,5.0,3.4,1.6,0.4,0
921,2024-02-05 08:59:19.302171,7.2,3.6,6.1,2.5,2
920,2024-02-05 08:59:18.287734,5.6,2.8,4.9,2.0,2
919,2024-02-05 08:59:17.275624,4.8,3.0,1.4,0.1,0
918,2024-02-05 08:59:16.261574,5.7,3.0,4.2,1.2,1
917,2024-02-05 08:59:15.251587,4.5,2.3,1.3,0.3,0
916,2024-02-05 08:59:14.238482,5.7,2.6,3.5,1.0,1
915,2024-02-05 08:59:13.229581,5.1,3.8,1.6,0.2,0
914,2024-02-05 08:59:12.222108,5.0,3.5,1.6,0.6,0
